1000018	20008	6
1000021	20009	6
1000024	20009	6
1000025	20009	6
1000027	20009	6
1000028	20009	6
1000029	20009	6
1000030	20009	6
1000031	20009	6
1000035	20009	6
1000036	20009	6
1000037	20009	6
1000039	20009	6
1000040	20009	6
1000041	20009	6
1000042	20009	6
1000044	20009	6
1000045	20009	6
1000047	20009	6
1000050	20009	6
1000053	20009	6
1000058	20009	6
1000059	20009	6
1000060	20009	6
1000062	20009	6
1000063	20009	6
1000065	20009	6
1000066	20009	6
1000067	20009	6
1000069	20009	6
1000070	20009	6
1000072	20009	6
1000073	20010	6
1000075	20011	6
1000077	20011	6
1000078	20011	6
1000080	20012	6
1000081	21298	6
1000082	20013	6
1000083	20021	6
1000085	20014	6
1000086	20015	6
1000088	20016	6
1000089	20016	6
1000092	20017	6
1000094	20017	6
1000095	20017	6
1000096	20018	6
1000097	21299	6
1000099	20019	6
1000100	20019	6
1000104	20020	6
1000105	20020	6
1000108	20021	6
1000109	20021	6
1000112	20021	6
1000114	20021	6
1000115	20021	6
1000116	20022	6
1000117	20023	6
1000119	20023	6
1000121	20024	6
1000122	20024	6
1000123	20025	6
1000126	20026	6
1000128	20026	6
1000129	20026	6
1000130	20026	6
1000133	20027	6
1000134	20028	6
1000135	20028	6
1028783	21297	6
20008	2032	6
20009	2032	6
20010	2032	6
20011	2032	6
20012	2032	6
20013	2032	6
20014	2032	6
20015	2032	6
20016	2032	6
20017	2032	6
20018	2032	6
20019	2032	6
20020	2032	6
20021	2032	6
20022	2032	6
20023	2032	6
20024	2032	6
20025	2032	6
20026	2032	6
20027	2032	6
20028	2032	6
21297	2032	6
21298	2032	6
21299	2032	6
9040998	20026	6
9040999	20018	6
9041000	20009	6
9041001	20009	6
9041002	20009	6
9041003	20009	6
9041004	20009	6
9041005	20009	6
9041006	20009	6
9041007	20009	6
9041008	20009	6
9041009	20009	6
9041010	20009	6
9041011	20009	6
9041012	20009	6
9041013	20009	6
9041014	20009	6
9041015	20009	6
9041016	20009	6
9041017	20009	6
9041018	20009	6
9041019	20009	6
9041020	20009	6
9041021	20009	6
9041022	20009	6
9041023	20009	6
9041024	20009	6
9041025	20009	6
9041026	20009	6
9041027	20009	6
9041028	20009	6
9041029	20009	6
9041030	20009	6
9041031	20009	6
9041032	20009	6
9041033	20009	6
9041034	20009	6
9041035	20009	6
9041036	20009	6
9041037	20009	6
9041038	20009	6
9041039	20009	6
9041040	20009	6
9041041	20009	6
9041042	20009	6
9041043	20009	6
9041044	20009	6
9041045	20009	6
9041046	20009	6
9041047	20009	6
9041048	20009	6
9041049	20009	6
9041050	20009	6
9041051	20009	6
9041052	20009	6
9041053	20009	6
9041054	20009	6
9041055	20009	6
9041056	20009	6
9041057	20009	6
9041058	20009	6
9041059	20009	6
9041060	20009	6
9041061	20009	6
9041062	20009	6
9041063	20009	6
9041064	20009	6
9041065	20009	6
9041066	20009	6
9041067	20009	6
9041068	20009	6
9041069	20009	6
9041070	20009	6
9041071	20009	6
9041072	20009	6
9041073	20009	6
9041074	20009	6
9041075	20026	6
9041076	20021	6
9041077	20026	6
9041078	21297	6
9041079	20020	6
9041080	20019	6
9041081	20028	6
9047581	20009	6
9047582	20009	6
9047583	20021	6
9047584	20009	6
9047585	20021	6
9047586	20021	6
9047587	20026	6
9047588	20009	6
9047589	20026	6
9047590	20009	6
9047591	20009	6
9047592	20009	6
9047593	20011	6
9047594	20009	6
9070457	20010	6
9070458	20010	6
9070459	20010	6
9070460	20010	6
